ads_id,created_date ,user_id,first_name,last_name,phone_number ,city_id,city_name ,product_id,product_brand,product_model,product_body_type,product_year,product_price,is_active
1,1/1/2022 13:22,3,Marj,Philpault,6282154134421,3201,Kabupaten Bogor,38,Honda,Honda CR-V,SUV,2009,116000000,1
2,1/1/2022 16:00,4,Nikki,MacRonald,6285736919537,3202,Kabupaten Sukabumi,42,Honda,Honda Civic,Sedan,2010,165000000,1
3,1/1/2022 18:14,5,Vivianne,Trimbey,6282518061295,3203,Kabupaten Cianjur,49,Suzuki,Suzuki Ertiga,MPV,2012,100000000,1
4,1/2/2022 13:46,6,Norby,Drioli,6282012308835,3204,Kabupaten Bandung,5,Toyota,Toyota Yaris,Hatchback,2012,124000000,1
5,1/3/2022 9:34,32,Pete,Rubanenko,6282022895944,3603,Kabupaten Tangerang,35,Honda,Honda Jazz,Hatchback,2013,178000000,1
6,1/3/2022 10:32,43,Clio,Barringer,6282023312096,3207,Kabupaten Ciamis,44,Honda,Honda Civic,Sedan,2013,179000000,1
7,1/3/2022 15:29,58,Bing,Bonifant,6282057788185,3275,Kota Bekasi,43,Honda,Honda Civic,Sedan,2013,186000000,1
8,1/5/2022 0:29,78,Deidre,Zavattieri,6282064637760,3209,Kabupaten Cirebon,7,Toyota,Toyota Agya,Hatchback,2014,97000000,1
9,1/5/2022 2:18,72,Durante,Redholls,6282075655641,3275,Kota Bekasi,29,Daihatsu,Daihatsu Xenia,MPV,2014,100000000,1
10,1/6/2022 11:39,2,Lavinia,Drewell,6282085180500,3172,Kota Jakarta Utara,3,Toyota,Toyota Yaris,Hatchback,2014,162000000,1
11,1/6/2022 20:30,13,Oneida,O'Doogan,6282108815167,3211,Kabupaten Sumedang,18,Daihatsu,Daihatsu Ayla,Hatchback,2015,96000000,1
12,1/7/2022 4:24,76,Radcliffe,Purches,6282123668302,3279,Kota Banjar,46,Suzuki,Suzuki Ertiga,MPV,2015,125000000,1
13,1/7/2022 12:39,18,Davey,Latchford,6282127741732,3328,Kabupaten Tegal,34,Honda,Honda Jazz,Hatchback,2015,192000000,1
14,1/8/2022 3:08,84,Irma,Nurcombe,6282135004066,3372,Kota Surakarta,16,Daihatsu,Daihatsu Ayla,Hatchback,2016,83000000,1
15,1/8/2022 15:08,83,Gavan,Freemantle,6282147316642,3371,Kota Magelang,14,Toyota,Toyota Calya,Wagon,2016,104000000,1
16,1/8/2022 15:56,10,Gerhardine,Brumbye,6289151650551,3208,Kabupaten Kuningan,15,Toyota,Toyota Calya,Wagon,2016,107000000,1
17,1/8/2022 19:01,47,Drugi,Hadwick,6284805499198,3211,Kabupaten Sumedang,8,Toyota,Toyota Agya,Hatchback,2016,110000000,1
18,1/9/2022 3:46,52,Olva,Alwell,6284808511745,3216,Kabupaten Bekasi,48,Suzuki,Suzuki Ertiga,MPV,2016,168000000,1
19,1/9/2022 6:16,12,Veriee,Wooddisse,6284843656680,3210,Kabupaten Majalengka,1,Toyota,Toyota Yaris,Hatchback,2016,175000000,1
20,1/9/2022 15:03,100,Dulcie,Mattiello,6285051444407,3201,Kabupaten Bogor,39,Honda,Honda CR-V,SUV,2016,269000000,1
21,1/10/2022 4:08,1,Jarad,Claque,6285055599314,3173,Kota Jakarta Barat,20,Daihatsu,Daihatsu Ayla,Hatchback,2017,113000000,1
22,1/10/2022 8:39,35,Chrystel,MacRory,6285154492640,3672,Kota Cilegon,19,Daihatsu,Daihatsu Ayla,Hatchback,2017,115000000,1
23,1/10/2022 19:34,80,Huntlee,Isaacs,6285208075206,3327,Kabupaten Pemalang,10,Toyota,Toyota Agya,Hatchback,2017,115500000,1
24,1/10/2022 23:39,51,Lil,Mynett,6285209100292,3215,Kabupaten Karawang,13,Toyota,Toyota Calya,Wagon,2017,115500000,1
25,1/11/2022 12:30,46,Rocky,Perrin,6285403770385,3210,Kabupaten Majalengka,28,Daihatsu,Daihatsu Xenia,MPV,2017,135000000,1
26,1/11/2022 17:28,73,Davide,McLukie,6285598305758,3276,Kota Depok,24,Daihatsu,Daihatsu Terios,SUV,2017,166000000,1
27,1/11/2022 21:51,82,Nadiya,Broxup,6285711040381,3329,Kabupaten Brebes,37,Honda,Honda CR-V,SUV,2017,345000000,1
28,1/11/2022 22:00,74,Olivie,Gerhardt,6285711096427,3277,Kota Cimahi,30,Daihatsu,Daihatsu Xenia,MPV,2018,159000000,1
29,1/12/2022 23:17,17,Leonardo,Burchfield,6285712630136,3327,Kabupaten Pemalang,50,Suzuki,Suzuki Ertiga,MPV,2018,167000000,1
30,1/13/2022 2:18,89,Kyla,Wildbore,6285717025615,3101,Kabupaten Kepulauan Seribu,47,Suzuki,Suzuki Ertiga,MPV,2018,178000000,1
31,1/13/2022 19:42,4,Nikki,MacRonald,6285736919537,3202,Kabupaten Sukabumi,21,Daihatsu,Daihatsu Terios,SUV,2018,190000000,1
32,1/13/2022 23:23,53,Robin,Mark,6285743605890,3217,Kabupaten Bandung Barat,25,Daihatsu,Daihatsu Terios,SUV,2018,201000000,1
33,1/14/2022 7:15,60,Rowney,Merle,6285854735729,3277,Kota Cimahi,2,Toyota,Toyota Yaris,Hatchback,2018,215000000,1
34,1/14/2022 10:32,70,Eleanora,Schubuser,6286019493885,3273,Kota Bandung,33,Honda,Honda Jazz,Hatchback,2018,216000000,1
35,1/14/2022 20:07,95,Rosabella,Groocock,6286023063199,3603,Kabupaten Tangerang,31,Honda,Honda Jazz,Hatchback,2018,236000000,1
36,1/14/2022 23:58,56,Morley,Risbie,6286089612749,3273,Kota Bandung,41,Honda,Honda Civic,Hatchback,2018,350000000,1
37,1/15/2022 3:46,34,Bobine,Parncutt,6286099189286,3671,Kota Tangerang,40,Honda,Honda CR-V,SUV,2018,398500000,1
38,1/15/2022 13:11,37,Micky,Dumphrey,6286101049862,3201,Kabupaten Bogor,36,Honda,Honda CR-V,SUV,2018,415000000,1
39,1/15/2022 21:59,29,Jard,Brough,6286148236487,3471,Kota Yogyakarta,6,Toyota,Toyota Agya,Hatchback,2019,114000000,1
40,1/15/2022 22:07,63,Caryl,Ashdown,6286154131968,3208,Kabupaten Kuningan,17,Daihatsu,Daihatsu Ayla,Hatchback,2019,120000000,1
41,1/15/2022 23:37,96,Feodor,Ollin,6286156838185,3604,Kabupaten Serang,11,Toyota,Toyota Calya,Wagon,2019,130000000,1
42,1/16/2022 1:54,86,Domenico,Kassel,6286196427652,3374,Kota Semarang,12,Toyota,Toyota Calya,Wagon,2019,137000000,1
43,1/16/2022 13:14,22,Cesaro,Kettridge,6286511408847,3373,Kota Salatiga,26,Daihatsu,Daihatsu Xenia,MPV,2019,170000000,1
44,1/16/2022 23:28,77,Ario,Ormiston,6287044977191,3208,Kabupaten Kuningan,23,Daihatsu,Daihatsu Terios,SUV,2019,189900000,1
45,1/17/2022 3:26,54,Lucita,Chavrin,6287133589777,3271,Kota Bogor,32,Honda,Honda Jazz,Hatchback,2019,250000000,1
46,1/17/2022 8:41,33,Major,Rapps,6287133676993,3604,Kabupaten Serang,45,Honda,Honda Civic,Hatchback,2019,397500000,1
47,1/17/2022 20:59,39,Teodor,Atlee,6287135698270,3203,Kabupaten Cianjur,4,Toyota,Toyota Yaris,Hatchback,2020,220000000,1
48,1/17/2022 22:48,55,Putnam,Lipman,6287177300524,3272,Kota Sukabumi,9,Toyota,Toyota Agya,Hatchback,2022,155500000,1
49,1/18/2022 0:37,38,Clerc,Odam,6287244763405,3202,Kabupaten Sukabumi,27,Daihatsu,Daihatsu Xenia,MPV,2022,220500000,1
50,1/18/2022 0:53,69,Olin,Langlais,6287318577651,3272,Kota Sukabumi,22,Daihatsu,Daihatsu Terios,SUV,2022,223000000,1
51,1/18/2022 11:14,92,Kaiser,Philippsohn,6287575229801,3171,Kota Jakarta Pusat,30,Daihatsu,Daihatsu Xenia,MPV,2018,159000000,1
52,1/18/2022 16:29,57,Titus,Dennison,6287708477629,3274,Kota Cirebon,9,Toyota,Toyota Agya,Hatchback,2022,155500000,1
53,1/19/2022 4:30,61,Vladamir,Surgood,6287729556200,3278,Kota Tasikmalaya,12,Toyota,Toyota Calya,Wagon,2019,137000000,1
54,1/19/2022 5:28,91,Griffith,Cumo,6287817379210,3175,Kota Jakarta Timur,28,Daihatsu,Daihatsu Xenia,MPV,2017,135000000,1
55,1/19/2022 14:10,66,Maddy,Carloni,6287852571701,3211,Kabupaten Sumedang,11,Toyota,Toyota Calya,Wagon,2019,130000000,1
56,1/20/2022 3:06,31,Alexander,Collerd,6287865859071,3602,Kabupaten Lebak,46,Suzuki,Suzuki Ertiga,MPV,2015,125000000,1
57,1/20/2022 19:33,87,Courtney,Brumbye,6288011610857,3375,Kota Pekalongan,5,Toyota,Toyota Yaris,Hatchback,2012,124000000,1
58,1/20/2022 21:20,71,Nettle,Pointon,6288042827678,3274,Kota Cirebon,17,Daihatsu,Daihatsu Ayla,Hatchback,2019,120000000,1
59,1/21/2022 2:05,26,Thor,Van der Daal,6288048105541,3401,Kabupaten Kulon Progo,38,Honda,Honda CR-V,SUV,2009,116000000,1
60,1/21/2022 17:53,85,Piggy,Crannis,6288066116725,3373,Kota Salatiga,10,Toyota,Toyota Agya,Hatchback,2017,115500000,1
61,1/21/2022 20:07,88,Toddie,Dreghorn,6288067292955,3376,Kota Tegal,13,Toyota,Toyota Calya,Wagon,2017,115500000,1
62,1/21/2022 22:50,30,Aundrea,Jimson,6288129137347,3601,Kabupaten Pandeglang,19,Daihatsu,Daihatsu Ayla,Hatchback,2017,115000000,1
63,1/23/2022 2:42,90,Elisa,Hansemann,6288185380736,3174,Kota Jakarta Selatan,6,Toyota,Toyota Agya,Hatchback,2019,114000000,1
64,1/23/2022 5:45,65,Avictor,Shann,6288186046705,3210,Kabupaten Majalengka,20,Daihatsu,Daihatsu Ayla,Hatchback,2017,113000000,1
65,1/24/2022 5:37,36,Tarah,Deaconson,6288186442722,3673,Kota Serang,8,Toyota,Toyota Agya,Hatchback,2016,110000000,1
66,1/24/2022 15:16,94,Ann-marie,Cruce,6288438277828,3172,Kota Jakarta Utara,15,Toyota,Toyota Calya,Wagon,2016,107000000,1
67,1/25/2022 0:16,81,Ralph,Tremblot,6288585345719,3328,Kabupaten Tegal,14,Toyota,Toyota Calya,Wagon,2016,104000000,1
68,1/25/2022 0:31,99,Karoly,Shorthouse,6288596809592,3673,Kota Serang,29,Daihatsu,Daihatsu Xenia,MPV,2014,100000000,1
69,1/25/2022 7:54,50,Tamiko,Celle,6289011373433,3214,Kabupaten Purwakarta,49,Suzuki,Suzuki Ertiga,MPV,2012,100000000,1
70,1/25/2022 16:07,15,Davidson,Quinby,6289019998573,3213,Kabupaten Subang,7,Toyota,Toyota Agya,Hatchback,2014,97000000,1
71,1/25/2022 22:00,49,Kaspar,MacGlory,6289093226414,3213,Kabupaten Subang,18,Daihatsu,Daihatsu Ayla,Hatchback,2015,96000000,1
72,1/26/2022 4:12,24,Juline,Chalcraft,6289128024160,3375,Kota Pekalongan,16,Daihatsu,Daihatsu Ayla,Hatchback,2016,83000000,1
73,1/27/2022 6:00,10,Gerhardine,Brumbye,6289151650551,3208,Kabupaten Kuningan,14,Toyota,Toyota Calya,Wagon,2016,104000000,1
74,1/27/2022 7:28,16,Johna,Thurlborn,6289152387613,3214,Kabupaten Purwakarta,15,Toyota,Toyota Calya,Wagon,2016,107000000,1
75,1/28/2022 6:08,20,Cart,Braxay,6289169329999,3371,Kota Magelang,13,Toyota,Toyota Calya,Wagon,2017,115500000,1
76,1/28/2022 10:51,36,Tarah,Deaconson,6288186442722,3673,Kota Serang,11,Toyota,Toyota Calya,Wagon,2019,130000000,1
77,1/30/2022 1:06,99,Karoly,Shorthouse,6288596809592,3673,Kota Serang,12,Toyota,Toyota Calya,Wagon,2019,137000000,1
78,1/30/2022 3:07,98,Erich,Lory,6284059599612,3672,Kota Cilegon,38,Honda,Honda CR-V,SUV,2009,116000000,1
79,1/30/2022 6:52,35,Chrystel,MacRory,6285154492640,3672,Kota Cilegon,39,Honda,Honda CR-V,SUV,2016,269000000,1
80,1/30/2022 23:54,34,Bobine,Parncutt,6286099189286,3671,Kota Tangerang,24,Daihatsu,Daihatsu Terios,SUV,2017,166000000,1
81,1/31/2022 4:32,97,Belle,Mendez,6289199691524,3671,Kota Tangerang,37,Honda,Honda CR-V,SUV,2017,345000000,1
82,1/31/2022 9:48,96,Feodor,Ollin,6286156838185,3604,Kabupaten Serang,21,Daihatsu,Daihatsu Terios,SUV,2018,190000000,1
83,1/31/2022 20:53,33,Major,Rapps,6287133676993,3604,Kabupaten Serang,25,Daihatsu,Daihatsu Terios,SUV,2018,201000000,1
84,2/1/2022 3:28,32,Pete,Rubanenko,6282022895944,3603,Kabupaten Tangerang,40,Honda,Honda CR-V,SUV,2018,398500000,1
85,2/1/2022 4:49,95,Rosabella,Groocock,6286023063199,3603,Kabupaten Tangerang,36,Honda,Honda CR-V,SUV,2018,415000000,1
86,2/1/2022 13:36,31,Alexander,Collerd,6287865859071,3602,Kabupaten Lebak,23,Daihatsu,Daihatsu Terios,SUV,2019,189900000,1
87,2/1/2022 15:25,30,Aundrea,Jimson,6288129137347,3601,Kabupaten Pandeglang,22,Daihatsu,Daihatsu Terios,SUV,2022,223000000,1
88,2/1/2022 23:16,29,Jard,Brough,6286148236487,3471,Kota Yogyakarta,42,Honda,Honda Civic,Sedan,2010,165000000,1
89,2/3/2022 8:23,28,Myer,Rush,6282533885754,3403,Kabupaten Gunung Kidul,44,Honda,Honda Civic,Sedan,2013,179000000,1
90,2/3/2022 8:53,27,Candida,Klouz,6283033598364,3402,Kabupaten Bantul,43,Honda,Honda Civic,Sedan,2013,186000000,1
91,2/3/2022 13:33,26,Thor,Van der Daal,6288048105541,3401,Kabupaten Kulon Progo,49,Suzuki,Suzuki Ertiga,MPV,2012,100000000,1
92,2/4/2022 3:20,25,Jeremias,Langham,6284069849822,3376,Kota Tegal,29,Daihatsu,Daihatsu Xenia,MPV,2014,100000000,1
